EventID	Division	Athlete	NOC	Placement
presidents-cup-america-2026	Senior Women -46kg	AZEVEDO Ariele Euc	BRA	
presidents-cup-america-2026	Senior Women -46kg	RAMIREZ Danna Isab	COL	3
presidents-cup-america-2026	Senior Women -46kg	ALERS Alannis Mich	PUR	
presidents-cup-america-2026	Senior Women -46kg	CALDERON Katherine	PER	
presidents-cup-america-2026	Senior Women -46kg	PADILLA Damaris Ai	PER	
presidents-cup-america-2026	Senior Women -46kg	SILVA Julia	BRA	1
presidents-cup-america-2026	Senior Women -46kg	SUAREZ Alessandra	PER	
presidents-cup-america-2026	Senior Women -46kg	NATTO Alexandra	JAM	
presidents-cup-america-2026	Senior Women -46kg	MARTINS Giovanna	BRA	
presidents-cup-america-2026	Senior Women -46kg	CUADROS Nicholle A	PER	
presidents-cup-america-2026	Senior Women -46kg	LARREYNAGA Marjori	ESA	
presidents-cup-america-2026	Senior Women -46kg	PEREIRA Emily Edua	BRA	
presidents-cup-america-2026	Senior Women -46kg	GOMEZ Nayeli	CHI	
presidents-cup-america-2026	Senior Women -46kg	MONARDEZ Agustina	CHI	
presidents-cup-america-2026	Senior Women -46kg	GONZALEZ Samantha	MEX	3
presidents-cup-america-2026	Senior Women -46kg	HERNANDEZ Fernanda	MEX	
presidents-cup-america-2026	Senior Women +73kg	ALADE Naomi	USA	1
presidents-cup-america-2026	Senior Women +73kg	LUKIC Maya	CAN	
presidents-cup-america-2026	Senior Women +73kg	WEEKES Crystal	PUR	
presidents-cup-america-2026	Senior Women +73kg	VASCONCELOS Elis	BRA	3
presidents-cup-america-2026	Senior Women +73kg	ROMAN Naishka	PUR	
presidents-cup-america-2026	Senior Women +73kg	PEREIRA Raiany	BRA	3
presidents-cup-america-2026	Senior Women +73kg	FRADL Maelynn Emil	ARU	
presidents-cup-america-2026	Senior Women +73kg	FUENTES Lisa Juani	ARG	
presidents-cup-america-2026	Senior Women +73kg	VIANA Alena	USA	2
presidents-cup-america-2026	Senior Women +73kg	GLORIA Mosquera	COL	
